#NodeName,Shelf/Slot/Port,Equipment(Type),Wavelength(Lambda),Origin(Flag),Parameter,Actual Power,CTP Loss Threshold,DHI
Site4,1.0/5.0/1.0,LINE(OPT-EDFA-17) (COM RX),,IMPORTED,Channel LOS Threshold,-35.1,-21.5,RED
Site4,1.0/5.0/5.0,LINE(OPT-EDFA-17) (LINE RX),,IMPORTED,Channel LOS Threshold,-50.0,-30.0,RED
Site4,1.0/5.0/6.0,LINE(OPT-EDFA-17) (LINE TX),,IMPORTED,Channel Power,1.0,1.0,YELLOW
Site4,1.0/6.0/2.0,LINE(OPT-RAMP-C) (COM TX),,IMPORTED,Channel Power,-13.0,-13.0,YELLOW
Site4,1.0/6.0/8.0,LINE(OPT-RAMP-C) (DC TX),,IMPORTED,Channel Power,-4.6,-4.6,YELLOW
Site4,1.0/6.0/10.0,LINE(OPT-RAMP-C) (RAMAN TX),,IMPORTED,Gain,,8.5,RED
Site5,1.0/2.0/2.0,LINE(OPT-RAMP-C) (COM TX),,IMPORTED,Channel Power,-13.0,-13.0,YELLOW
Site5,1.0/2.0/8.0,LINE(OPT-RAMP-C) (DC TX),,IMPORTED,Channel Power,-4.6,-4.6,YELLOW
Site5,1.0/2.0/10.0,LINE(OPT-RAMP-C) (RAMAN TX),,IMPORTED,Gain,,8.5,RED
Site5,1.0/4.0/1.0,LINE(OPT-AMP-17-C) (COM RX),,IMPORTED,Channel LOS Threshold,-50.0,-22.3,RED
Site5,1.0/4.0/5.0,LINE(OPT-AMP-17-C) (LINE RX),,IMPORTED,Channel LOS Threshold,-50.0,-30.0,RED
Site5,1.0/4.0/6.0,LINE(OPT-AMP-17-C) (LINE TX),,IMPORTED,Gain,,17.0,RED
Site5,1.0/4.0/6.0,LINE(OPT-AMP-17-C) (LINE TX),,IMPORTED,Channel Power,1.0,1.0,YELLOW
Site5,1.0/5.0/2.0,LINE(40-SMR1-C) (EXP TX),,IMPORTED,Channel Power,1.0,1.0,YELLOW
Site5,1.0/5.0/,LINEWL,1546.92 (ADD Power),,,-50.0 (OPWR),,RED
Site5,1.0/5.0/8.0,LINE(40-SMR1-C) (DROP TX),,IMPORTED,Channel Power,-10.5,-10.5,YELLOW
Site5,1.0/5.0/,LINEWL,1546.92 (DROP Power),,,-50.0 (OPWR),,RED
Site5,1.0/5.0/9.0,LINE(40-SMR1-C) (LINE RX),,IMPORTED,Channel LOS Threshold,-50.0,-20.6,RED
Site5,1.0/5.0/10.0,LINE(40-SMR1-C) (LINE TX),,IMPORTED,Channel Power,-16.0,-16.0,YELLOW
Site5,1.0/5.0/,LINEWL,1546.92 (OUT-LINE Power),,,-50.0 (OPWR),,RED
Site5,1.0/7.0/1.0,LINE(40-SMR1-C) (EXP RX),,IMPORTED,Channel LOS Threshold,-50.0,-6.2,RED
Site5,1.0/7.0/2.0,LINE(40-SMR1-C) (EXP TX),,IMPORTED,Channel Power,1.0,1.0,YELLOW
Site5,1.0/7.0/,LINEWL,1548.51 (ADD Power),,,-5.7 (OPWR),,RED
Site5,1.0/7.0/,LINEWL,1546.92 (ADD Power),,,-6.3 (OPWR),,RED
Site5,1.0/7.0/8.0,LINE(40-SMR1-C) (DROP TX),,IMPORTED,Channel Power,-9.8,-9.8,YELLOW
Site5,1.0/7.0/,LINEWL,1548.51 (DROP Power),,,-9.8 (OPWR),,RED
Site5,1.0/7.0/,LINEWL,1546.92 (DROP Power),,,-9.9 (OPWR),,RED
Site5,1.0/7.0/10.0,LINE(40-SMR1-C) (LINE TX),,IMPORTED,Channel Power,-14.3,-14.3,YELLOW
Site5,1.0/7.0/,LINEWL,1548.51 (OUT-LINE Power),,,-14.3 (OPWR),,RED
Site5,1.0/7.0/,LINEWL,1546.92 (OUT-LINE Power),,,-14.3 (OPWR),,RED
Site6,1.0/2.0/7.0,LINE(OSC-CSM) (OSC TX),,IMPORTED,OSC Power,-11.0,-11.0,YELLOW
Site6,1.0/3.0/2.0,LINE(OPT-PRE) (COM TX),,IMPORTED,Channel Power,-2.0,-2.0,YELLOW
Site6,1.0/4.0/,LINEWL,1560.61 (COM Power),,,-15.2 (OPWR),,RED
Site6,1.0/4.0/,LINEWL,1546.12 (COM Power),,,-15.2 (OPWR),,RED
Site6,1.0/4.0/,LINEWL,1543.73 (COM Power),,,-15.2 (OPWR),,RED
Site6,1.0/4.0/,LINEWL,1542.94 (COM Power),,,-15.2 (OPWR),,RED
Site6,1.0/4.0/,LINEWL,1530.33 (COM Power),,,-15.1 (OPWR),,RED
Site6,1.0/4.0/11.0,LINE(80-WXC-C) (DROP TX),,IMPORTED,Channel Power,-10.9,-10.9,YELLOW
Site6,1.0/4.0/,LINEWL,1560.61 (DROP Power),,,-10.5 (OPWR),,RED
Site6,1.0/4.0/,LINEWL,1546.12 (DROP Power),,,-10.3 (OPWR),,RED
Site6,1.0/4.0/,LINEWL,1543.73 (DROP Power),,,-10.0 (OPWR),,RED
Site6,1.0/4.0/,LINEWL,1542.94 (DROP Power),,,-10.5 (OPWR),,RED
Site6,1.0/4.0/,LINEWL,1530.33 (DROP Power),,,-11.0 (OPWR),,RED
Site6,1.0/4.0/13.0,LINE(80-WXC-C) (COM RX),,IMPORTED,Channel Power,-2.0,-2.0,YELLOW
Site6,1.0/4.0/,LINEWL,1560.61 (ADD Power),,,-4.9 (OPWR),,RED
Site6,1.0/4.0/,LINEWL,1546.12 (ADD Power),,,-4.9 (OPWR),,RED
Site6,1.0/4.0/,LINEWL,1543.73 (ADD Power),,,-4.6 (OPWR),,RED
Site6,1.0/4.0/,LINEWL,1542.94 (ADD Power),,,-4.3 (OPWR),,RED
Site6,1.0/4.0/,LINEWL,1530.33 (ADD Power),,,-3.9 (OPWR),,RED
